Tree Name,Date,Park Name,Tree Number,Genus,Species,Species ID Code,Tree tag present,Tree tag information,Tree ID in City Inventory (if applicable),ID Notes,Multi-stemmed,DBH (in),DBH 2 (in),DBH 3 (in),DBH 4 (in),DBH 5 (in),DBH 6 (in),Total DBH,Esimated DBH,Height Measured (DBH),Land Use Type,Site type,Percent Imperv in Root Zone,Trail,Street,Sidewalk,Powerline,Mulch,Mulch Volcano,Tree guard,Stake,Gator bag,Pruned,Prune - Cut to branch collar,Prune - hatrack,Prune - flush cut,Prune - tear bark,Prune - bleeding wound,Gardenscape,Mowing,Grass Description,Other Cues to Care,Roots visible above soil,Fungal Conch,Road/Sidewalk Lift,Road/Sidewalk crack,Broken Branches in crown,Trunk damage,Leaf curling or Wrinkling,Other Notable Damage,Other notes,Discoloration,Defoliation,Dieback,Crown Vigor,Crown Light Exposure,Dead
WE-CECA-001,7/11/2023,West Point on the Eno,1,Cercis,canadensis,CECA,FALSE,,,,FALSE,1.3,,,,,,1.3,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,picnic shelter,4,2,7,4,0,FALSE
WE-CECA-002,7/11/2023,West Point on the Eno,2,Cercis,canadensis,CECA,FALSE,,,,FALSE,3.5,,,,,,3.5,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,trail,2,2,9,3,1,FALSE
WE-CECA-003,7/11/2023,West Point on the Eno,3,Cercis,canadensis,CECA,FALSE,,,,FALSE,7.6,,,,,,7.6,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,trail,2,5,6,2,2,FALSE
WE-QUPH-004,7/11/2023,West Point on the Eno,4,Quercus,phellos,QUPH,FALSE,,,,FALSE,5.7,,,,,,5.7,,,MP,NAT,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,parking lot,2,1,6,3,1,FALSE
WE-ACRU-005,7/11/2023,West Point on the Eno,5,Acer,rubrum,ACRU,FALSE,,,,FALSE,7,,,,,,7,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,near parking lot,2,2,3,2,2,FALSE
WE-ULAM-006,7/11/2023,West Point on the Eno,6,Ulmus,americana,ULAM,FALSE,,,,FALSE,9.8,,,,,,9.8,,,MP,OM,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,parking lot,5,1,4,4,3,FALSE
WE-QUPH-007,7/11/2023,West Point on the Eno,7,Quercus,phellos,QUPH,FALSE,,,,FALSE,15.1,,,,,,15.1,,,MP,OM,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,parking lot,2,1,5,3,4,FALSE
WE-QUPH-008,7/11/2023,West Point on the Eno,8,Quercus,phellos,QUPH,FALSE,,,,FALSE,6.8,,,,,,6.8,,,MP,OM,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,parking lot / information sign,2,1,3,1,3,FALSE
WE-LASPP-009,7/11/2023,West Point on the Eno,9,Lagerstroemia,spp,LASPP,FALSE,,,,TRUE,3.8,3.4,2.8,3.7,2.6,3,19.3,,,MP,OM,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None,recent,Patchy but green,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,sidewalk near house,2,1,4,2,2,FALSE
WE-QUPH-010,7/11/2023,West Point on the Eno,10,Quercus,phellos,QUPH,FALSE,,,,FALSE,20.6,,,,,,20.6,,,MP,OM,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,next to restroom shelter,2,1,2,2,3,FALSE
WE-QUPH-011,7/11/2023,West Point on the Eno,11,Quercus,phellos,QUPH,FALSE,,,,FALSE,27.7,,,,,,27.7,,,MP,OM,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,recent,Patchy but green,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"root decay, Woodpecker holes",next to restroom shelter,1,1,2,1,4,FALSE
WE-ACRU-012,7/11/2023,West Point on the Eno,12,Acer,rubrum,ACRU,FALSE,,,,FALSE,16.8,,,,,,16.8,,,MP,OM,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,recent,Lush,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,exit holes,next to house,2,1,3,2,4,FALSE
WE-ACRU-013,7/11/2023,West Point on the Eno,13,Acer,rubrum,ACRU,FALSE,,,,FALSE,17.3,,,,,,17.3,,,MP,OM,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,recent,Lush,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,many woodpecker holes ,next to house,2,1,9,3,3,FALSE
WE-QUPH-014,7/11/2023,West Point on the Eno,14,Quercus,phellos,QUPH,FALSE,,,,FALSE,30,,,,,,30,,,MP,OM,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None,recent,None,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,front of house,1,1,2,1,3,FALSE
WE-LASPP-015,7/11/2023,West Point on the Eno,15,Lagerstroemia,spp,LASPP,FALSE,,,,TRUE,6.7,7.1,,,,,13.8,,,MP,FY,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Moderate,recent,Lush,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,house front yard,2,1,2,1,2,FALSE
WE-CACA-016,7/11/2023,West Point on the Eno,16,Lagerstroemia,spp,CACA,FALSE,,,,TRUE,3.7,4,4.5,3.7,4.4,3.5,23.8,,,MP,OM,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,recent,Lush,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,sidewalk next to house,2,1,7,3,2,FALSE
WE-LASPP-017,7/11/2023,West Point on the Eno,17,Lagerstroemia,spp,LASPP,FALSE,,,,TRUE,4,3.2,4.4,3.1,3.1,3.8,21.6,,,MP,OM,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,recent,Lush,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,sidewalk next to house,2,1,4,2,3,FALSE
WE-LASPP-018,7/11/2023,West Point on the Eno,18,Lagerstroemia,spp,LASPP,FALSE,,,,TRUE,3,2.7,2.2,2.5,2.3,2.1,14.8,,,MP,OM,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,recent,Lush,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,sidewalk next to house,2,1,11,4,1,FALSE
WE-ULAM-019,7/11/2023,West Point on the Eno,19,Ulmus,americana,ULAM,FALSE,,,,FALSE,1.9,,,,,,1.9,,,MP,OM,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,flagpole,3,1,4,4,2,FALSE
WE-ULAM-020,7/11/2023,West Point on the Eno,20,Ulmus,americana,ULAM,FALSE,,,,FALSE,1.2,,,,,,1.2,,,MP,OM,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,flagpole,5,2,4,4,1,FALSE
WE-QUPH-021,7/11/2023,West Point on the Eno,21,Quercus,phellos,QUPH,FALSE,,,,FALSE,8,,,,,,8,,,MP,OM,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,1,4,2,1,FALSE
WE-QUPH-022,7/11/2023,West Point on the Eno,22,Quercus,phellos,QUPH,FALSE,,,,FALSE,9.4,,,,,,9.4,,,MP,OM,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1,1,3,1,5,FALSE
WE-QUPH-023,7/11/2023,West Point on the Eno,23,Quercus,phellos,QUPH,FALSE,,,,FALSE,17.3,,,,,,17.3,,,MP,OM,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,exit holes,2,1,5,2,5,FALSE
WE-ULAM-024,7/11/2023,West Point on the Eno,24,Ulmus,americana,ULAM,FALSE,,,,FALSE,4.5,,,,,,4.5,,,MP,OM,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,4,1,2,4,1,FALSE
WE-ULAM-025,7/11/2023,West Point on the Eno,25,Ulmus,americana,ULAM,FALSE,,,,FALSE,10.5,,,,,,10.5,,,MP,OM,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,4,1,5,4,3,FALSE
WE-ULAM-026,7/11/2023,West Point on the Eno,26,Ulmus,americana,ULAM,FALSE,,,,FALSE,5.6,,,,,,5.6,,,MP,OM,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3,1,2,3,2,FALSE
WE-ACRU-027,7/11/2023,West Point on the Eno,27,Acer,rubrum,ACRU,,,,,FALSE,2.9,,,,,,2.9,,"3'2""",MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,2,2,2,2,0,FALSE
WE-QUPH-028,7/11/2023,West Point on the Eno,28,Quercus,phellos,QUPH,FALSE,,,,FALSE,1.6,,,,,,1.6,,,MP,NAT,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,2,1,2,1,2,FALSE
WE-ACRU-029,7/11/2023,West Point on the Eno,29,Acer,rubrum,ACRU,FALSE,,,,FALSE,4.7,,,,,,4.7,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,2,2,2,1,FALSE
WE-ACRU-030,7/11/2023,West Point on the Eno,30,Acer,rubrum,ACRU,FALSE,,,,FALSE,2.4,,,,,,2.4,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,2,6,3,1,FALSE
WE-ACRU-031,7/11/2023,West Point on the Eno,31,Acer,rubrum,ACRU,FALSE,,,,TRUE,4.5,3.7,3.1,,,,11.3,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,2,5,2,3,FALSE
WE-ACRU-032,7/11/2023,West Point on the Eno,32,Acer,rubrum,ACRU,FALSE,,,,FALSE,4.6,,,,,,4.6,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,2,6,3,2,FALSE
WE-ACRU-033,7/11/2023,West Point on the Eno,33,Acer,rubrum,ACRU,FALSE,,,,FALSE,11.5,,,,,,11.5,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,1,2,1,3,FALSE
WE-CECA-034,7/11/2023,West Point on the Eno,34,Cercis,canadensis,CECA,FALSE,,,,FALSE,2.1,,,,,,2.1,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,1,2,9,3,1,FALSE
WE-CECA-035,7/11/2023,West Point on the Eno,35,Cercis,canadensis,CECA,FALSE,,,,FALSE,7.3,,,,,,7.3,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"large hole in trunk , branch years throughout ",,2,2,12,4,2,FALSE
WE-ACRU-036,7/11/2023,West Point on the Eno,36,Acer,rubrum,ACRU,FALSE,,,,FALSE,1.7,,,,,,1.7,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,2,2,2,1,1,FALSE
WE-ULAM-037,7/11/2023,West Point on the Eno,37,Ulmus,americana,ULAM,FALSE,,,,TRUE,10.1,7.1,,,,,17.2,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,2,2,2,3,FALSE
WE-LASPP-038,7/11/2023,West Point on the Eno,38,Lagerstroemia,spp,LASPP,FALSE,,,,TRUE,3.2,4.5,2.2,2.6,1.5,6,20,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,recent,Lush,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,3,2,2,3,5,FALSE
WE-LASPP-039,7/11/2023,West Point on the Eno,39,Lagerstroemia,spp,LASPP,FALSE,,,,TRUE,1.7,1.2,1.3,1.3,1.5,1.1,8.1,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,old,Patchy but green,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3,1,3,4,3,FALSE
WE-LASPP-040,7/11/2023,West Point on the Eno,40,Lagerstroemia,spp,LASPP,FALSE,,,,TRUE,1.9,1.9,1.2,1.4,1.3,,7.7,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,2,2,2,1,0,FALSE
WE-ULAM-041,7/11/2023,West Point on the Eno,41,Ulmus,americana,ULAM,FALSE,,,,FALSE,11,,,,,,11,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,torn branches,dbh estimated; large vines wrapping throughout tree,1,2,4,2,1,FALSE
WE-ULAM-042,7/11/2023,West Point on the Eno,42,Ulmus,americana,ULAM,FALSE,,,,FALSE,17.5,,,,,,17.5,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,dbh estimated; large vines wrapping throughout tree,2,2,4,3,1,FALSE
WE-CECA-043,7/11/2023,West Point on the Eno,43,Cercis,canadensis,CECA,FALSE,,,,FALSE,5.5,,,,,,5.5,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,4,2,7,3,1,FALSE
WE-LASPP-044,7/11/2023,West Point on the Eno,44,Lagerstroemia,spp,LASPP,FALSE,,,,TRUE,2,1.8,1.7,1.9,1.9,1.5,10.8,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,3,1,3,3,1,FALSE
WE-LASPP-045,7/11/2023,West Point on the Eno,45,Lagerstroemia,spp,LASPP,FALSE,,,,TRUE,1.9,1.8,1.9,1.7,1.6,1.7,10.6,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,recent,Lush,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,4,1,2,4,3,FALSE
WE-ULAM-046,7/11/2023,West Point on the Eno,46,Ulmus,americana,ULAM,FALSE,,,,FALSE,4.7,,,,,,4.7,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,2,2,2,1,FALSE
WE-CECA-047,7/11/2023,West Point on the Eno,47,Cercis,canadensis,CECA,FALSE,,,,FALSE,1.7,,,,,,1.7,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,4,2,9,4,0,FALSE
WE-CECA-048,7/11/2023,West Point on the Eno,48,Cercis,canadensis,CECA,FALSE,,,,FALSE,1.9,,,,,,1.9,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,2,1,6,3,1,FALSE
WE-CECA-049,7/11/2023,West Point on the Eno,49,Cercis,canadensis,CECA,FALSE,,,,FALSE,2.8,,,,,,2.8,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,2,2,3,2,1,FALSE
WE-CECA-050,7/11/2023,West Point on the Eno,50,Cercis,canadensis,CECA,FALSE,,,,FALSE,2.3,,,,,,2.3,,,MP,NAT,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,2,2,3,3,0,FALSE
